S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
404;Nfe Hospitalidade - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Nfe Hospitalidade - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
405;Nfe Infra - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Nfe Infra - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
406;Nfe TH - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Nfe TH - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
407;Nfvaletur;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Nfvaletur,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
410;Operações Ala Água - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Operações Ala Água - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
408;Operações Ala Mar - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Operações Ala Mar - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
409;Operações Ala Sol - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Operações Ala Sol - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
411;Operações Sauipe Premium - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Operações Sauipe Premium - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
412;Orçamentos;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Orçamentos,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
414;Parceiros Lazeres Opcionais;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Parceiros Lazeres Opcionais,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
419;Playcorp;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Playcorp,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
420;Presidência;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Presidência,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
422;Projeto Gasoso - EC;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Projeto Gasoso - EC,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
