S.No;Group Name;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
50;BRBAFS01_Orçamento_2017_Recursos_Humanos_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Orçamento_2017_Recursos_Humanos_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
51;BRBAFS01_Orçamento_2018_Área_Recursos_Humanos_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Orçamento_2018_Área_Recursos_Humanos_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
52;BRBAFS01_Premium_Bares_Restaurante_Chefe_de_Fila_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Premium_Bares_Restaurante_Chefe_de_Fila_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
53;BRBAFS01_RecADM_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_RecADM_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
54;BRBAFS01_Relatorios_Gerenciais_Area_Comercial_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Comercial_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
55;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AlaAgua_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AlaAgua_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
56;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AlaTerra_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AlaTerra_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
57;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AreasComuns_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_AreasComuns_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
58;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_DirOperacao_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_DirOperacao_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
59;BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Entretenimen_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Area_Dir_Operacao_Entretenimen_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
